\\\	CeBonVieuxPoring	Yatta	Oxyzz	Kid	Blacksushi	N.H.G	Guimodas	Elfo	Casy	Saka	Juni	ComteNiark	Evolt	Jensen	Josgo	Acid Rave	Rooskas	Famoflo	Artiik	Halua	Aubergine	Ganymède	Shuunx7	Shawn	Silfan	tortue obèse	Tetsuyo	Zo	Djol	Ohmiince
CeBonVieuxPoring	XXXX	9 - 11	15 - 12	2 - 1	7 - 1	3 - 2	7 - 2	3 - 2	1 - 0	3 - 1	3 - 0	8 - 2	8 - 0	3 - 1	3 - 0	0 - 0	8 - 0	0 - 0	5 - 2	5 - 0	0 - 1	2 - 1	2 - 1	2 - 0	2 - 1	2 - 0	0 - 1	1 - 0	2 - 1	0 - 1
Yatta	11 - 9	XXXX	26 - 8	1 - 3	57 - 10	6 - 0	30 - 6	4 - 0	15 - 3	1 - 0	7 - 1	6 - 0	8 - 1	4 - 0	6 - 0	2 - 0	4 - 0	1 - 0	8 - 1	14 - 1	3 - 0	6 - 0	0 - 0	2 - 0	3 - 0	3 - 1	8 - 1	1 - 0	3 - 1	15 - 1
Oxyzz	12 - 15	8 - 26	XXXX	4 - 7	6 - 6	1 - 1	10 - 5	4 - 1	0 - 2	2 - 0	4 - 1	9 - 0	8 - 2	7 - 1	4 - 0	1 - 0	6 - 2	3 - 0	5 - 0	6 - 0	4 - 0	3 - 1	1 - 0	2 - 0	4 - 0	3 - 0	3 - 1	3 - 0	4 - 0	0 - 0
Kid	1 - 2	3 - 1	7 - 4	XXXX	1 - 0	1 - 0	3 - 0	0 - 0	1 - 0	2 - 0	1 - 0	1 - 0	2 - 1	2 - 0	3 - 0	0 - 0	2 - 1	1 - 0	0 - 0	0 - 0	1 - 1	0 - 0	1 - 0	1 - 0	0 - 0	1 - 0	0 - 1	0 - 0	2 - 0	0 - 0
Blacksushi	1 - 7	10 - 57	6 - 6	0 - 1	XXXX	11 - 0	22 - 12	2 - 0	11 - 2	0 - 2	6 - 1	3 - 0	1 - 1	3 - 0	5 - 0	1 - 0	3 - 0	0 - 0	13 - 0	17 - 0	2 - 0	0 - 0	1 - 0	1 - 0	3 - 0	0 - 2	16 - 0	2 - 0	0 - 0	6 - 3
N.H.G	2 - 3	0 - 6	1 - 1	0 - 1	0 - 11	XXXX	0 - 1	0 - 0	1 - 2	1 - 0	1 - 0	5 - 0	0 - 0	1 - 0	0 - 0	0 - 0	0 - 0	0 - 0	3 - 2	5 - 2	0 - 1	0 - 0	1 - 0	1 - 0	2 - 0	0 - 0	4 - 4	0 - 0	0 - 0	1 - 0
Guimodas	2 - 7	6 - 30	5 - 10	0 - 3	12 - 22	1 - 0	XXXX	3 - 1	5 - 2	2 - 1	5 - 0	2 - 1	2 - 0	3 - 1	3 - 0	1 - 0	2 - 0	0 - 0	4 - 1	9 - 1	2 - 0	6 - 1	0 - 0	0 - 0	0 - 1	0 - 1	7 - 0	1 - 0	1 - 0	3 - 0
Elfo	2 - 3	0 - 4	1 - 4	0 - 0	0 - 2	0 - 0	1 - 3	XXXX	1 - 0	1 - 2	1 - 0	2 - 0	0 - 1	1 - 0	0 - 0	0 - 0	3 - 0	0 - 0	1 - 2	2 - 2	0 - 0	1 - 0	0 - 0	1 - 0	1 - 0	0 - 0	1 - 1	1 - 0	2 - 0	0 - 0
Casy	0 - 1	3 - 15	2 - 0	0 - 1	2 - 11	2 - 1	2 - 5	0 - 1	XXXX	0 - 0	1 - 0	1 - 0	1 - 1	2 - 0	8 - 1	1 - 0	3 - 0	0 - 0	3 - 0	9 - 0	0 - 1	0 - 0	0 - 0	1 - 0	1 - 0	0 - 0	8 - 0	0 - 0	1 - 1	3 - 0
Saka	1 - 3	0 - 1	0 - 2	0 - 2	2 - 0	0 - 1	1 - 2	2 - 1	0 - 0	XXXX	1 - 3	2 - 0	7 - 8	0 - 0	1 - 0	0 - 1	1 - 0	0 - 0	1 - 2	0 - 3	1 - 0	3 - 2	0 - 0	1 - 0	1 - 0	1 - 0	0 - 0	0 - 0	0 - 0	1 - 0
Juni	0 - 3	1 - 7	1 - 4	0 - 1	1 - 6	0 - 1	0 - 5	0 - 1	0 - 1	3 - 1	XXXX	2 - 4	3 - 1	4 - 3	3 - 3	0 - 0	3 - 3	1 - 1	6 - 1	3 - 0	1 - 2	4 - 2	0 - 1	6 - 0	2 - 0	3 - 1	0 - 1	0 - 1	0 - 1	0 - 0
ComteNiark	2 - 8	0 - 6	0 - 9	0 - 1	0 - 3	0 - 5	1 - 2	0 - 2	0 - 1	0 - 2	4 - 2	XXXX	1 - 4	1 - 0	0 - 1	1 - 0	9 - 0	0 - 0	3 - 6	6 - 3	0 - 0	3 - 1	1 - 0	1 - 0	1 - 0	3 - 0	4 - 2	1 - 0	5 - 4	3 - 2
Evolt	0 - 8	1 - 8	2 - 8	1 - 2	1 - 1	0 - 0	0 - 2	1 - 0	1 - 1	8 - 7	1 - 3	4 - 1	XXXX	3 - 0	0 - 1	0 - 1	3 - 3	0 - 0	3 - 4	3 - 2	0 - 1	2 - 1	1 - 0	2 - 0	1 - 0	1 - 0	0 - 0	1 - 0	5 - 1	0 - 1
Jensen	1 - 3	0 - 4	1 - 7	0 - 2	0 - 3	0 - 1	1 - 3	0 - 1	0 - 2	0 - 0	3 - 4	0 - 1	0 - 3	XXXX	0 - 2	0 - 1	3 - 1	2 - 0	3 - 2	1 - 2	1 - 2	4 - 0	0 - 0	4 - 1	1 - 1	5 - 0	2 - 0	1 - 1	4 - 0	1 - 0
Josgo	0 - 3	0 - 6	0 - 4	0 - 3	0 - 5	0 - 0	0 - 3	0 - 0	1 - 8	0 - 1	3 - 3	1 - 0	1 - 0	2 - 0	XXXX	0 - 0	1 - 0	0 - 0	3 - 0	1 - 1	1 - 0	1 - 0	0 - 0	2 - 0	0 - 0	0 - 4	2 - 2	0 - 0	1 - 0	0 - 1
Acid Rave	0 - 0	0 - 2	0 - 1	0 - 0	0 - 1	0 - 0	0 - 1	0 - 0	0 - 1	1 - 0	0 - 0	0 - 1	1 - 0	1 - 0	0 - 0	XXXX	0 - 0	0 - 0	1 - 0	2 - 0	1 - 0	0 - 0	0 - 0	0 - 0	0 - 0	0 - 0	0 - 0	0 - 0	2 - 0	0 - 0
Rooskas	0 - 8	0 - 4	2 - 6	1 - 2	0 - 3	0 - 0	0 - 2	0 - 3	0 - 3	0 - 1	3 - 3	0 - 9	3 - 3	1 - 3	0 - 1	0 - 0	XXXX	0 - 2	4 - 3	4 - 0	2 - 1	7 - 6	0 - 2	4 - 3	1 - 0	5 - 1	1 - 1	10 - 5	6 - 2	0 - 0
Famoflo	0 - 0	0 - 1	0 - 3	0 - 1	0 - 0	0 - 0	0 - 0	0 - 0	0 - 0	0 - 0	1 - 1	0 - 0	0 - 0	0 - 2	0 - 0	0 - 0	2 - 0	XXXX	1 - 0	2 - 0	2 - 0	1 - 0	0 - 0	1 - 0	1 - 0	1 - 0	0 - 0	0 - 0	1 - 0	0 - 0
Artiik	2 - 5	1 - 8	0 - 5	0 - 0	0 - 13	2 - 3	1 - 4	2 - 1	0 - 3	2 - 1	1 - 6	6 - 3	4 - 3	2 - 3	0 - 3	0 - 1	3 - 4	0 - 1	XXXX	2 - 5	3 - 0	2 - 0	0 - 1	2 - 0	3 - 0	5 - 0	4 - 5	0 - 0	2 - 2	4 - 10
Halua	0 - 5	1 - 14	0 - 6	0 - 0	0 - 17	2 - 5	1 - 9	2 - 2	0 - 9	3 - 0	0 - 3	3 - 6	2 - 3	2 - 1	1 - 1	0 - 2	0 - 4	0 - 2	5 - 2	XXXX	1 - 0	1 - 1	0 - 1	3 - 0	0 - 0	2 - 0	8 - 0	0 - 0	2 - 1	5 - 0
